"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"150","Kedah","All","assault","robbery_solo_unarmed","2021-01-01",110,2151.7,95038.721,6.00356353445946,100.495333581081
"151","Kedah","All","assault","robbery_solo_unarmed","2022-01-01",199,2163.1,102024.695,6.00356353445946,100.495333581081
"152","Kedah","All","assault","robbery_solo_unarmed","2023-01-01",120,2189.3,103588.044,6.00356353445946,100.495333581081
"153","Kedah","All","property","break_in","2016-01-01",1287,2119.7,82363.669,6.00356353445946,100.495333581081
"154","Kedah","All","property","break_in","2017-01-01",1350,2143.9,86155.209,6.00356353445946,100.495333581081
"155","Kedah","All","property","break_in","2018-01-01",1130,2163,89625.43,6.00356353445946,100.495333581081
"156","Kedah","All","property","break_in","2019-01-01",1138,2173.7,93696.564,6.00356353445946,100.495333581081
"157","Kedah","All","property","break_in","2020-01-01",980,2131.4,92080.99,6.00356353445946,100.495333581081
"158","Kedah","All","property","break_in","2021-01-01",989,2151.7,95038.721,6.00356353445946,100.495333581081
"159","Kedah","All","property","break_in","2022-01-01",1130,2163.1,102024.695,6.00356353445946,100.495333581081
"160","Kedah","All","property","break_in","2023-01-01",1353,2189.3,103588.044,6.00356353445946,100.495333581081
"161","Kedah","All","property","theft_other","2016-01-01",1181,2119.7,82363.669,6.00356353445946,100.495333581081
"162","Kedah","All","property","theft_other","2017-01-01",1108,2143.9,86155.209,6.00356353445946,100.495333581081
"163","Kedah","All","property","theft_other","2018-01-01",1101,2163,89625.43,6.00356353445946,100.495333581081
"164","Kedah","All","property","theft_other","2019-01-01",956,2173.7,93696.564,6.00356353445946,100.495333581081
"165","Kedah","All","property","theft_other","2020-01-01",797,2131.4,92080.99,6.00356353445946,100.495333581081
"166","Kedah","All","property","theft_other","2021-01-01",831,2151.7,95038.721,6.00356353445946,100.495333581081
"167","Kedah","All","property","theft_other","2022-01-01",1360,2163.1,102024.695,6.00356353445946,100.495333581081
"168","Kedah","All","property","theft_other","2023-01-01",1295,2189.3,103588.044,6.00356353445946,100.495333581081
"169","Kedah","All","property","theft_vehicle_lorry","2016-01-01",111,2119.7,82363.669,6.00356353445946,100.495333581081
